Year,State,District ID,District Name,Grade range of responsibility,Total Population,Relevant Ages 5 to 17 Population,Relevant Ages 5 to 17 in Families in Poverty,Relevant age 5 to 17 Ratio,Relevant Ages 5 to 17 Ratio LB 90%,Relevant Ages 5 to 17 Ratio UB 90%,Map
2019,1,100210,Auburn City School District (AL),PK-12,"62,657","7,410",609,8.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100210&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100240,Autauga County School District (AL),KG-12,"55,869","9,688","1,376",14.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100240&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100270,Baldwin County School District (AL),PK-12,"223,234","35,515","4,641",13.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100270&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100300,Barbour County School District (AL),PK-12,"12,909","1,622",671,41.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100300&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100330,Bessemer City School District (AL),PK-12,"27,439","4,649","1,478",31.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100330&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100360,Bibb County School District (AL),KG-12,"22,394","3,311",808,24.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100360&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100390,Birmingham City School District (AL),PK-12,"212,192","30,116","10,336",34.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100390&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100420,Blount County School District (AL),PK-12,"51,188","8,816","1,843",20.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100420&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100450,Brewton City School District (AL),KG-12,"5,156",871,233,26.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100450&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100480,Bullock County School District (AL),KG-12,"10,101","1,541",591,38.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100480&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100510,Butler County School District (AL),PK-12,"19,448","3,174","1,024",32.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100510&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100540,Calhoun County School District (AL),PK-12,"54,310","9,207","1,687",18.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100540&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100600,Chambers County School District (AL),PK-12,"26,944","4,104","1,125",27.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100600&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100630,Cherokee County School District (AL),PK-12,"26,196","3,734",795,21.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100630&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100660,Chilton County School District (AL),PK-12,"44,428","7,880","1,643",20.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100660&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100690,Choctaw County School District (AL),KG-12,"12,589","1,818",508,27.9,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100690&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100720,Clarke County School District (AL),PK-12,"18,232","2,817",825,29.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100720&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100750,Clay County School District (AL),KG-12,"13,235","1,969",433,22,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100750&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100780,Cleburne County School District (AL),PK-12,"14,555","2,406",419,17.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100780&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
